滞后期数,红球和值自相关系数,蓝球自相关系数
0,1.0,1.0
1,-0.017889428002967583,-0.05672716038640633
2,-0.015323387487516207,-0.03059874148425403
3,-0.013340277983431324,-0.03713332079444535
4,-0.026256897886747132,-0.012868142983192311
5,0.05789076992817917,0.07965138664887965
6,-0.050302060135580355,0.04466326596677916
7,0.06285173983631927,0.026717091254671404
8,-0.11312604014848565,-0.1082594021486102
9,-0.11776332731824656,0.05364472235893674
10,0.007331863963747641,-0.06534995942281405
11,-0.06302894428824495,-0.018715505852479875
12,0.03383795846371536,0.02231464973279533
13,0.053623069566560155,0.0018633209689342676
14,0.024308042242695903,0.010147351358899612
15,-0.07719279468921737,-0.09058983069303712
16,-0.05889366369028109,0.03435065468003246
17,0.0013459624585560478,-0.009824424458304124
18,0.05264238654428301,0.021322100767833602
19,0.03812692739568361,0.06033168873872527
20,-0.06286570232407998,-0.026657237658708522
21,-0.12805379794155802,0.010211798542247325
22,-0.000827253115066866,-0.07249389843813667
23,0.09922200406814059,0.13148194761025306
24,0.0772665382644975,-0.03160645617231435
25,0.02894311811520316,0.04437752679192775
26,-0.10370685305290485,-0.03104880646876412
27,0.03431415091043768,-0.0014313438415995373
28,-0.08508198743032451,0.014914117317923446
29,0.05217046488848203,-0.011518796987731535
30,0.0897925430507664,-0.042598609203971086
31,-0.017068808278594184,-0.058264183680004196
32,-0.06997211045741934,0.025135953827861275
33,0.01820456123975267,-0.005800567501039839
34,-0.015508742077121046,0.05536094706850143
35,-0.03789583971257891,-0.018847642055533218
36,0.02575570438328216,-0.04897752885602153
37,0.008128987340140802,-0.033173368840127795
38,-0.017857660172902044,-0.049691313965473466
39,-0.023871934139696453,0.056191341394163825
40,0.05804615221504966,-0.0852690476040629
41,0.034339245929660964,0.07799786061056994
42,0.05775118314295064,-0.06332902012415154
43,0.08310217680253278,-0.06858169662884528
44,-0.22076354368779574,0.060016540775491595
45,0.0713498188124605,0.04152888532148164
46,0.051435921234044016,-0.01907489683272817
47,0.08123866608235249,-0.069683117594176
48,-0.07175062883312393,0.00584623253714838
49,-0.04791342852715584,-0.05769850048024161
50,0.05759295863432803,0.049807584380190915
