特征,最小值,最大值,平均值,中位数,标准差,众数
红球和值,41.0,148.0,100.15,100.5,20.59469116903252,111.0
红球方差,13.138888888888891,177.80555555555554,79.13416666666667,75.40277777777777,32.46239881823184,67.1388888888889
红球跨度,11.0,32.0,24.496666666666666,25.0,4.677919622603694,26.0
